#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
82,Tyler Heineman,BOS,15,46,41,9,2,0,0.00%,400.00%,3,4,9,0,0,0,8.70%,18.70%,0.096,0.274,0.225,0.301,0.321,0.622,0.279,68,999,2.04,-0.12,1.97
83,Austin Wynns,CIN,24,81,73,16,3,0,200.00%,700.00%,8,6,20,1,0,0,7.50%,24.20%,0.1,0.285,0.224,0.29,0.324,0.613,0.273,63,999,2.34,-0.44,1.8
84,César Salazar,HOU,10,28,26,5,1,0,0.00%,300.00%,3,2,6,1,0,0,6.80%,22.70%,0.077,0.27,0.209,0.287,0.287,0.574,0.261,63,999,2.41,0.46,1.99
85,Carlos Pérez,,18,51,48,10,2,0,100.00%,400.00%,5,3,8,0,0,0,5.30%,15.90%,0.122,0.24,0.22,0.267,0.342,0.609,0.266,70,999,0.78,-0.88,1.92
86,Donny Sands,DET,19,51,47,10,2,0,100.00%,400.00%,4,4,12,0,0,0,7.80%,23.30%,0.102,0.28,0.22,0.285,0.323,0.608,0.271,68,999,0.71,-0.78,1.92
87,Jose Herrera,ARI,30,100,88,19,4,0,100.00%,1000.00%,8,10,24,0,0,0,9.50%,24.10%,0.067,0.286,0.215,0.293,0.282,0.575,0.262,60,999,3.21,0.53,1.7
88,Jason Delay,PIT,36,121,110,25,5,0,100.00%,1200.00%,10,8,31,2,0,0,6.30%,25.20%,0.085,0.3,0.225,0.285,0.311,0.595,0.266,62,748.6,2.63,-0.24,1.64
89,Cooper Hummel,SFG,11,40,35,7,2,0,100.00%,500.00%,3,5,12,1,1,0,11.40%,29.50%,0.127,0.285,0.204,0.305,0.331,0.636,0.286,78,999,2.98,0.52,1.95
90,Israel Pineda,WSN,8,27,25,5,1,0,100.00%,200.00%,3,2,8,0,0,0,6.20%,28.90%,0.163,0.274,0.217,0.271,0.381,0.652,0.283,74,999,0.31,-0.01,2.01
91,Drew Romo,COL,11,42,39,10,2,0,100.00%,500.00%,4,2,8,0,1,0,5.70%,19.80%,0.127,0.299,0.253,0.299,0.38,0.679,0.296,68,999,1.49,-0.54,1.99
92,Joey Bart,SFG,23,83,76,17,2,0,200.00%,800.00%,8,6,26,1,0,0,7.00%,31.40%,0.099,0.305,0.217,0.282,0.316,0.597,0.267,65,736.1,3.3,0.18,1.76
93,Chadwick Tromp,ATL,7,24,22,5,1,0,100.00%,300.00%,3,2,6,0,0,0,7.20%,25.80%,0.146,0.264,0.214,0.273,0.359,0.632,0.276,69,999,2.84,1.01,2.01
94,Rob Brantly,TBR,15,54,49,11,2,0,100.00%,500.00%,5,3,10,2,0,0,6.10%,18.10%,0.079,0.272,0.226,0.297,0.305,0.602,0.272,68,999,1.87,0.95,1.91
