#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
121,Wade Miley,MIL,23,23,127.1,8,7,8,0,0,128,60,18,89,43,6.32,3.04,2.08,1.24,0.257,1.34,0.283,72.50%,4.22,4.77,472.6,4.24,0.83,0.74
122,Paul Blackburn,OAK,24,24,132,6,8,7,0,0,138,66,17,110,46,7.46,3.11,2.4,1.15,0.264,1.39,0.306,69.70%,4.51,4.41,550.3,4.03,-0.91,1.13
123,Bryce Elder,ATL,23,24,130,8,6,9,0,0,131,64,16,101,48,6.96,3.33,2.09,1.14,0.257,1.37,0.292,70.10%,4.43,4.6,412.6,4.25,0.02,1.15
124,Aaron Ashby,MIL,10,33,77.1,4,5,3,0,2,69,33,8,86,35,10,4.06,2.46,0.98,0.236,1.35,0.305,73.70%,3.87,3.95,407.6,5.24,-1.1,0.47
125,Chase Silseth,LAA,21,27,114.1,7,7,6,0,1,106,55,16,113,48,8.88,3.8,2.34,1.28,0.243,1.35,0.292,71.60%,4.36,4.52,343.7,2.59,0.34,0.76
126,Nick Martinez,CIN,14,41,104.2,5,5,5,2,3,104,50,15,98,40,8.4,3.44,2.44,1.31,0.254,1.37,0.3,72.60%,4.33,4.55,460,2.77,-0.11,0.62
127,Adrian Houser,NYM,21,30,121.1,7,7,6,0,1,124,60,15,91,46,6.75,3.42,1.98,1.1,0.261,1.4,0.295,69.90%,4.49,4.59,531.4,2.35,0.29,1.05
128,Jordan Wicks,CHC,21,23,110,7,6,7,0,0,109,54,15,92,37,7.56,3.05,2.48,1.25,0.255,1.33,0.292,70.30%,4.4,4.5,453.1,2.54,1.15,0.61
129,Paul Skenes,PIT,10,10,55,3,3,1,0,0,49,26,6,54,20,8.8,3.27,2.69,0.94,0.237,1.26,0.293,67.90%,4.19,3.75,317.8,7.92,0.59,0.58
130,Cal Quantrill,COL,26,26,149.1,7,10,8,0,0,171,89,24,94,48,5.64,2.92,1.93,1.46,0.284,1.47,0.302,66.20%,5.36,5.26,718.9,8.21,-0.01,2.55
131,Kyle Freeland,COL,28,28,159.2,7,11,10,0,0,190,96,28,104,48,5.87,2.69,2.18,1.59,0.291,1.49,0.31,67.30%,5.41,5.26,730.2,5.64,-0.3,2.95
