#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
214,Joan Adon,WSN,8,37,70.2,3,6,2,0,1,73,41,10,61,32,7.81,4.04,1.93,1.22,0.262,1.48,0.305,66.20%,5.17,4.82,999,4.8,-1.22,0.63
215,Luis Garcia,HOU,4,4,22.1,2,1,1,0,0,20,10,3,22,7,9.02,2.97,3.03,1.33,0.236,1.23,0.283,71.30%,4.13,4.24,727.6,1.82,0.93,1.03
216,AJ Smith-Shawver,ATL,7,24,54.1,3,3,2,0,1,50,28,9,56,25,9.24,4.11,2.25,1.43,0.24,1.37,0.288,70.80%,4.62,4.77,419,1.78,0.52,0.29
217,Carlos Carrasco,CLE,10,23,63,3,4,3,0,0,67,34,10,53,22,7.59,3.11,2.44,1.41,0.269,1.41,0.307,69.00%,4.88,4.78,737.2,3.55,0.26,0.33
218,Ken Waldichuk,OAK,10,21,63.2,3,4,3,0,0,60,32,9,62,28,8.81,3.97,2.22,1.31,0.244,1.38,0.292,70.90%,4.52,4.7,748,2.14,-1.55,0.28
219,Hurston Waldrep,ATL,4,17,34.1,1,1,2,0,1,32,16,4,36,16,9.49,4.22,2.25,1.12,0.245,1.41,0.307,71.80%,4.33,4.29,999,1.13,-1.13,0.74
220,Will Warren,NYY,5,17,38.2,2,2,2,0,1,38,19,5,34,15,7.83,3.55,2.2,1.16,0.251,1.37,0.293,70.70%,4.37,4.5,999,1.03,-0.75,0.68
221,Chris Flexen,CHW,16,25,99,4,7,4,0,1,107,57,17,72,36,6.55,3.24,2.02,1.57,0.272,1.44,0.295,68.70%,5.14,5.25,735.4,2.41,-1.12,1.12
222,Joey Cantillo,CLE,7,7,34.2,2,2,2,0,0,32,17,5,33,16,8.62,4.2,2.05,1.23,0.24,1.38,0.286,71.90%,4.36,4.65,999,2.19,0.18,0.73
223,Osvaldo Bido,,6,22,47.1,2,4,1,0,1,47,26,6,42,20,8,3.87,2.07,1.13,0.254,1.42,0.3,66.10%,4.94,4.66,999,2.31,-0.93,0.45
224,Emerson Hancock,SEA,11,28,69.2,4,4,3,0,1,69,36,10,55,24,7.16,3.05,2.35,1.35,0.254,1.32,0.284,68.60%,4.63,4.74,999,2.27,0.28,0.3
225,Zach Davies,,10,15,53.2,2,3,2,0,0,58,31,8,41,23,6.94,3.89,1.78,1.4,0.272,1.51,0.303,67.60%,5.28,5.13,999,2.82,-1.01,0.47
226,Luis Gil,,4,17,31,1,2,2,0,0,26,14,4,36,15,10.37,4.44,2.33,1.28,0.223,1.33,0.283,72.90%,4.19,4.41,689.3,2.32,-1.26,0.86
227,Kenny Rosenberg,LAA,6,15,43.1,2,3,2,0,1,44,22,6,39,19,8,3.85,2.08,1.31,0.259,1.44,0.302,72.10%,4.54,4.76,999,2.44,-1.29,0.52
228,Cade Horton,CHC,4,5,24.2,1,1,1,0,0,24,13,4,23,9,8.26,3.29,2.51,1.34,0.25,1.33,0.292,68.90%,4.62,4.56,999,1.26,0.2,0.9
229,Michael Kopech,CHW,25,26,126,6,9,6,0,0,113,70,22,124,70,8.89,5.04,1.76,1.58,0.237,1.46,0.275,70.20%,5.03,5.41,468.1,3.83,0.82,1.84
230,Vince Velasquez,PIT,6,8,32.2,2,3,2,0,0,32,18,6,31,13,8.41,3.55,2.37,1.53,0.252,1.37,0.29,69.20%,4.86,4.9,999,1.24,-0.41,0.67
231,Simeon Woods Richardson,MIN,4,14,35,2,2,1,0,1,35,18,5,29,15,7.53,3.81,1.97,1.21,0.257,1.43,0.296,68.90%,4.75,4.69,744,1.48,0.58,0.67
232,Gavin Stone,LAD,4,22,44,3,2,2,0,1,44,24,7,42,16,8.59,3.31,2.59,1.36,0.257,1.37,0.304,67.10%,4.91,4.53,485.1,4.1,-1.31,0.47
233,Luke Weaver,NYY,5,30,52.1,2,3,1,0,2,55,29,9,48,17,8.29,2.87,2.89,1.57,0.266,1.37,0.307,68.60%,4.95,4.77,736.2,6.21,-0.12,0.43
234,Chris Murphy,BOS,4,25,54.2,2,3,1,0,1,56,30,7,50,23,8.26,3.77,2.19,1.21,0.262,1.45,0.311,67.90%,4.91,4.56,999,2.31,-1.61,0.38
235,Clayton Beeter,NYY,6,23,47.1,3,3,2,0,1,43,24,7,49,23,9.32,4.37,2.13,1.35,0.237,1.39,0.287,71.00%,4.57,4.75,999,1.58,0.01,0.4
236,Nick Nastrini,CHW,11,14,58.2,3,4,4,0,0,56,33,10,56,28,8.53,4.3,1.98,1.52,0.246,1.43,0.285,68.90%,5.02,5.14,999,1.74,1.48,0.35
237,Zach Plesac,LAA,12,25,76.1,4,5,4,0,1,84,43,14,53,25,6.25,2.94,2.13,1.68,0.275,1.43,0.293,69.80%,5.07,5.37,742.8,4.47,-1.51,0.6
238,Johnny Cueto,,10,10,57,3,4,3,0,0,63,31,11,39,15,6.19,2.44,2.53,1.66,0.277,1.39,0.296,70.00%,4.94,5.24,999,3.11,1.08,0.42
239,Josh Fleming,PIT,3,24,47,2,3,0,0,1,57,24,5,26,14,5.06,2.65,1.91,1,0.293,1.49,0.318,69.80%,4.63,4.54,999,3.34,-0.79,0.57
240,José Buttó,NYM,4,22,39.2,2,3,2,0,1,39,20,6,36,16,8.1,3.72,2.18,1.27,0.251,1.39,0.294,69.90%,4.6,4.65,702.3,1.81,-0.04,0.61
241,Julio Urías,,2,2,12.2,1,1,1,0,0,12,6,2,12,3,8.37,2.28,3.67,1.27,0.24,1.17,0.282,70.50%,4,4.11,713.6,5.88,3.44,1.2
242,Germán Márquez,COL,3,3,17.1,1,1,1,0,0,18,9,3,15,6,7.75,2.98,2.6,1.42,0.26,1.35,0.297,67.70%,4.86,4.66,748.8,2.08,0.8,1.02
243,Carlos F. Rodriguez,MIL,4,4,24,1,2,1,0,0,22,13,4,22,10,8.3,3.74,2.22,1.41,0.241,1.34,0.279,68.20%,4.76,4.86,999,2.13,0.68,0.9
244,Eric Lauer,,10,10,54.1,3,4,3,0,0,54,29,10,48,22,7.92,3.64,2.17,1.67,0.253,1.39,0.283,71.50%,4.81,5.2,739.3,3.2,0.61,0.32
245,Cooper Criswell,BOS,3,23,43.2,2,2,1,0,1,49,24,6,34,12,7.09,2.55,2.78,1.28,0.279,1.41,0.318,67.10%,4.94,4.58,999,2.12,-0.22,0.5
246,Julio Teheran,BAL,8,8,43.1,2,3,3,0,0,45,24,8,31,12,6.54,2.6,2.52,1.59,0.265,1.34,0.286,68.40%,4.9,5.13,747.6,2.03,1.6,0.61
247,Ty Madden,DET,4,17,34.1,2,2,1,0,1,33,17,5,31,13,8.17,3.44,2.38,1.3,0.251,1.35,0.294,69.70%,4.57,4.6,999,1.05,-0.65,0.75
248,Mike Vasil,NYM,4,4,17.1,1,1,1,0,0,17,9,3,16,6,8.22,3.31,2.49,1.36,0.248,1.32,0.288,69.60%,4.55,4.6,999,1.59,0.27,1.06
249,Kolby Allard,PHI,3,18,30.1,1,2,1,0,1,31,17,6,28,10,8.34,2.98,2.8,1.64,0.257,1.34,0.294,67.90%,4.98,4.86,999,2.52,-0.59,0.77
250,Ryan Weathers,MIA,5,30,52.1,2,4,1,0,2,55,29,8,45,21,7.66,3.65,2.1,1.38,0.265,1.45,0.303,69.40%,4.91,4.86,737.1,4.53,-0.8,0.38
251,Touki Toussaint,CHW,12,30,83.1,4,6,3,0,2,80,45,11,80,48,8.67,5.15,1.68,1.2,0.248,1.53,0.299,70.70%,4.8,5.04,748,2.8,-0.72,0.98
252,Dallas Keuchel,,7,7,34,2,2,2,0,0,40,20,4,22,14,5.91,3.77,1.57,1.17,0.287,1.59,0.316,68.00%,5.23,5.01,999,5.92,-1.26,0.58
253,Matthew Boyd,DET,3,3,13.2,1,1,1,0,0,13,7,2,13,5,8.74,3.09,2.83,1.41,0.249,1.31,0.295,70.60%,4.47,4.54,999,0.74,-0.37,1.11
254,Anthony Veneziano,KCR,2,14,25,1,1,1,0,1,26,13,3,21,10,7.4,3.65,2.02,1.17,0.264,1.44,0.304,68.60%,4.78,4.64,750.7,2.34,-0.93,0.85
255,James Kaprielian,,8,9,44,2,3,2,0,0,43,25,7,37,19,7.49,3.91,1.91,1.44,0.251,1.41,0.281,67.50%,5.04,5.15,999,1.71,1.67,0.5
256,Ian Anderson,,3,8,17.2,1,1,1,0,0,17,9,2,16,8,8.25,3.91,2.11,1.17,0.249,1.4,0.296,70.50%,4.47,4.49,745.5,1.54,-0.78,1
257,Alec Marsh,KCR,8,16,49.2,2,4,2,0,1,50,29,8,50,23,9.02,4.16,2.17,1.49,0.26,1.48,0.31,67.90%,5.24,5,749.4,3.71,-0.98,0.38
258,Drew Rucinski,,9,16,55.2,3,5,2,0,0,58,30,9,43,20,7.01,3.21,2.18,1.48,0.265,1.4,0.294,69.20%,4.9,5.07,999,2.4,0.7,0.36
259,Michael McGreevy,STL,3,6,18.1,1,1,1,0,0,20,9,2,12,5,5.7,2.49,2.29,1.16,0.273,1.36,0.297,69.90%,4.44,4.6,999,0.66,-0.77,1.06
260,David Festa,MIN,3,3,16.2,1,1,1,0,0,16,8,2,15,7,7.81,3.73,2.09,1.17,0.251,1.39,0.293,69.50%,4.55,4.6,999,1.16,0.91,1.02
261,Tyler Gilbert,CIN,1,10,21,1,1,0,0,0,23,11,3,18,7,7.6,3.06,2.49,1.36,0.27,1.41,0.31,68.90%,4.85,4.63,999,2.12,0.08,0.93
262,Lyon Richardson,CIN,2,13,22,1,1,0,0,1,21,12,3,22,11,9.14,4.47,2.04,1.37,0.248,1.45,0.299,69.90%,4.85,4.81,748.2,1.96,-0.58,0.88
263,Andre Jackson,,2,12,27.1,1,1,0,1,1,24,14,4,26,12,8.49,4.1,2.07,1.3,0.235,1.34,0.276,68.70%,4.63,4.73,999,1,1.75,0.91
264,Cade Povich,BAL,3,8,20,1,1,1,0,0,18,10,3,20,9,8.96,3.97,2.26,1.25,0.241,1.36,0.291,72.00%,4.31,4.54,999,1.61,-0.81,0.98
265,Cristian Mena,ARI,4,9,25.2,1,2,1,0,0,25,13,4,22,11,7.92,3.8,2.08,1.29,0.255,1.42,0.296,69.30%,4.75,4.75,999,1.51,-0.18,0.82
266,Matt Canterino,MIN,3,3,16.1,1,1,1,0,0,15,8,2,16,7,8.75,3.98,2.2,1.35,0.244,1.38,0.29,70.10%,4.64,4.68,999,0.99,-0.11,1.04
267,Chase Hampton,NYY,3,4,18,1,1,1,0,0,18,10,3,17,7,8.36,3.25,2.57,1.56,0.251,1.33,0.289,69.90%,4.72,4.84,999,1.03,-0.78,1.02
268,Bruce Zimmermann,BAL,4,18,35,2,2,1,0,1,38,18,6,29,10,7.51,2.5,3.01,1.43,0.272,1.36,0.309,71.20%,4.56,4.64,746.9,3.7,-0.58,0.73
269,Antonio Senzatela,COL,3,3,12.2,1,1,0,0,0,16,7,2,7,3,4.83,2.38,2.03,1.31,0.301,1.51,0.318,68.90%,5.04,4.97,999,1,0.18,1.07
270,Davis Daniel,LAA,5,26,49.2,3,3,1,0,1,50,27,8,41,21,7.36,3.8,1.94,1.46,0.258,1.43,0.289,68.70%,5,5.11,735.8,4.19,-0.04,0.39
271,Mason Montgomery,TBR,3,3,17.2,1,1,1,0,0,17,9,3,16,7,7.84,3.3,2.37,1.55,0.251,1.34,0.283,69.20%,4.79,4.99,999,0.83,-0.29,1.01
272,Kris Bubic,KCR,3,5,14,1,1,1,0,0,15,8,2,13,6,8.06,3.8,2.12,1.2,0.273,1.51,0.322,70.00%,4.83,4.61,747.4,3.67,0.24,1.03
273,Jared Shuster,CHW,8,14,50,3,4,2,0,1,51,28,8,36,21,6.54,3.7,1.76,1.48,0.261,1.43,0.283,68.60%,5.03,5.25,734.3,2.09,-0.64,0.42
274,Gordon Graceffo,STL,2,2,13.2,1,1,1,0,0,14,7,2,10,5,6.49,3.16,2.05,1.35,0.259,1.37,0.284,68.20%,4.78,4.95,999,1.33,1.37,1.09
275,Ryan Rolison,COL,3,6,16,1,1,1,0,0,18,9,3,12,5,6.74,3.01,2.24,1.62,0.286,1.5,0.313,69.00%,5.28,5.22,999,0.9,0.03,0.96
276,Yonny Chirinos,,4,21,45.1,2,3,1,0,1,49,25,7,31,14,6.13,2.85,2.15,1.36,0.271,1.39,0.294,67.80%,4.9,4.99,750.8,2.78,1.71,0.52
277,Joey Estes,OAK,6,23,49.2,2,4,2,0,1,49,26,8,41,16,7.43,2.9,2.56,1.51,0.253,1.3,0.281,68.00%,4.77,5.04,999,2.17,-0.11,0.57
278,Connor Overton,CIN,3,6,17.2,0,1,0,0,0,18,11,3,12,7,6.17,3.35,1.84,1.48,0.263,1.41,0.282,63.40%,5.47,5.22,999,2.31,0.13,1
279,Mick Abel,PHI,4,16,33.1,2,2,1,0,1,32,19,5,31,17,8.32,4.51,1.85,1.44,0.249,1.46,0.288,68.20%,5.1,5.16,999,1.99,0.82,0.59
280,Daulton Jefferies,SFG,1,1,5.2,0,1,0,0,0,6,3,1,4,1,6.54,1.99,3.29,1.32,0.269,1.29,0.297,64.30%,4.89,4.51,999,2.1,0.74,1.25
281,Mitchell Parker,WSN,2,7,15.2,1,1,1,0,0,15,8,2,14,8,8.1,4.37,1.85,1.33,0.252,1.47,0.294,70.00%,4.84,4.96,999,0.78,-0.13,1
282,Sem Robberse,STL,2,2,11,0,1,1,0,0,12,6,2,8,4,6.44,3.4,1.89,1.33,0.263,1.41,0.288,68.00%,4.91,4.99,999,1.24,0.61,1.14
283,Chayce McDermott,BAL,3,16,29,2,2,1,0,1,26,15,4,30,15,9.34,4.79,1.95,1.29,0.239,1.44,0.291,71.20%,4.62,4.76,999,0.79,-0.41,0.72
284,Jesse Scholtens,CHW,6,27,52,2,3,2,0,1,56,29,9,41,18,7.13,3.09,2.31,1.55,0.269,1.41,0.298,69.20%,4.98,5.06,999,5.38,-0.53,0.43
285,Ty Blach,COL,3,22,38,2,2,1,0,1,46,23,6,25,11,5.92,2.67,2.22,1.51,0.296,1.52,0.319,66.10%,5.54,5.15,999,3.65,-0.36,0.53
286,Spencer Arrighetti,HOU,2,5,11.2,1,1,1,0,0,11,6,2,11,5,8.57,3.76,2.28,1.4,0.245,1.36,0.287,68.90%,4.74,4.8,999,0.9,0.42,1.13
287,Noah Davis,COL,6,14,37.2,1,3,2,0,1,42,25,7,29,18,6.86,4.26,1.61,1.65,0.278,1.59,0.304,64.90%,6,5.79,999,2.68,0.73,0.54
288,Jake Eder,CHW,3,3,14,1,1,1,0,0,14,8,2,12,7,7.71,4.31,1.79,1.44,0.253,1.46,0.287,69.10%,5.02,5.23,999,0.75,0.66,1.02
289,Brad Keller,,7,10,38,2,3,2,0,0,40,22,5,28,22,6.59,5.23,1.26,1.1,0.267,1.64,0.302,69.60%,5.11,5.26,999,2.41,0.12,0.55
290,Jack Leiter,TEX,3,3,14.2,0,1,1,0,0,14,9,3,14,8,8.41,4.67,1.8,1.59,0.249,1.48,0.285,68.80%,5.24,5.39,999,2.06,-1.57,1
291,Davis Martin,CHW,1,3,7.1,0,1,0,0,0,8,4,1,6,2,7.62,2.87,2.66,1.43,0.262,1.35,0.297,64.80%,5.11,4.73,999,1.1,-0.21,1.2
292,Blake Walston,ARI,3,3,14.2,1,1,1,0,0,15,8,2,10,6,6.09,3.96,1.54,1.3,0.267,1.5,0.291,67.60%,5.15,5.21,999,0.88,0.19,1.02
293,Nick Frasso,,1,3,5.1,0,0,0,0,0,4,2,1,6,2,9.46,3.92,2.41,1.43,0.224,1.27,0.269,74.20%,4.09,4.68,999,1.38,0.52,1.28
294,Jeff Criswell,COL,2,2,7.2,0,1,0,0,0,8,5,1,6,3,6.96,3.78,1.84,1.71,0.277,1.53,0.302,66.60%,5.71,5.56,999,0.6,0.22,1.15
295,Richard Fitts,BOS,1,1,6.1,1,0,0,0,0,7,3,1,5,2,6.92,2.62,2.64,1.72,0.275,1.39,0.299,71.20%,4.9,5.2,999,0.76,0.99,1.19
296,Owen White,TEX,6,22,49.1,2,4,1,0,1,50,28,8,41,21,7.46,3.86,1.93,1.5,0.257,1.43,0.287,68.30%,5.08,5.18,748.8,3.07,0.22,0.43
297,Ryan Bergert,SDP,2,2,8,0,1,1,0,0,7,4,2,7,4,7.89,3.98,1.98,1.67,0.237,1.35,0.262,70.70%,4.78,5.36,999,1.39,-0.23,1.2
298,Noah Skirrow,PHI,1,1,6,0,0,0,0,0,7,4,1,4,2,6.26,3.21,1.95,1.74,0.285,1.51,0.303,64.80%,5.85,5.57,999,0.67,-0.01,1.18
299,David Parkinson,PHI,1,4,8.1,1,1,0,0,0,9,5,2,6,3,6.88,3.25,2.12,1.61,0.277,1.47,0.304,70.50%,5.07,5.26,999,0.13,-0.22,1.15
300,Brett Kerry,LAA,1,1,6.1,0,1,0,0,0,7,4,1,4,2,6.4,3.28,1.95,1.75,0.276,1.47,0.294,68.10%,5.41,5.54,999,0.53,-0.43,1.21
301,Jay Groome,,3,9,21.2,1,2,1,0,1,22,12,3,18,11,7.59,4.76,1.6,1.34,0.257,1.53,0.293,70.50%,4.96,5.24,999,3.69,-1.74,0.83
302,Adrian Sampson,,1,2,6.2,0,1,0,0,0,7,3,1,5,3,6.43,4.15,1.55,1.41,0.276,1.57,0.303,81.20%,3.91,5.41,999,10.94,-0.18,1.24
303,Spenser Watkins,WSN,2,7,20.2,1,2,0,0,0,25,13,3,14,8,6.11,3.52,1.74,1.46,0.291,1.58,0.316,65.20%,5.79,5.28,999,3.65,0.28,0.78
304,Vladimir Gutierrez,MIA,3,11,21.1,1,1,1,0,0,23,13,4,16,10,6.79,4.09,1.66,1.6,0.273,1.54,0.298,66.70%,5.63,5.63,999,2.14,-0.6,0.79
305,Madison Bumgarner,,10,10,52.1,2,5,1,0,0,59,32,10,35,19,6.07,3.28,1.85,1.72,0.279,1.48,0.294,66.80%,5.57,5.66,999,2.47,-0.85,0.53
306,Drew Hutchison,,2,4,14.1,1,1,0,0,0,15,8,2,9,6,5.97,3.95,1.51,1.53,0.268,1.5,0.286,71.40%,4.96,5.59,999,1.52,0.37,1.03
307,Luke Albright,ARI,1,1,6.1,0,0,0,0,0,7,4,1,5,3,7.03,4.6,1.53,1.72,0.271,1.59,0.294,70.60%,5.42,5.86,999,0.2,0.99,1.2
308,Dylan Dodd,,3,10,23,1,1,1,0,0,27,14,4,17,8,6.5,2.97,2.19,1.62,0.287,1.5,0.312,67.90%,5.4,5.23,999,3.49,-0.8,0.77
309,Rony García,,1,7,12.1,1,1,0,0,1,12,7,2,11,5,8.26,3.96,2.08,1.54,0.246,1.39,0.281,67.90%,5.03,5.13,999,6.22,-0.97,1.08
310,Daniel Castano,,1,3,8.1,0,0,0,0,0,10,5,2,6,3,6.11,3.4,1.8,1.66,0.281,1.51,0.3,69.10%,5.35,5.53,999,2.24,0.21,1.16
311,Luis Cessa,KCR,1,7,11.2,0,1,0,0,0,15,7,2,7,5,5.77,3.87,1.49,1.49,0.305,1.71,0.329,70.10%,5.57,5.53,999,2.8,0.48,1.01
312,Karl Kauffmann,COL,1,6,12.1,0,1,0,0,1,15,9,2,7,6,5.14,4.2,1.22,1.43,0.301,1.71,0.318,59.00%,6.9,5.8,999,2.4,0.63,0.91
313,Zach Logue,ATL,1,6,13,1,1,0,0,0,15,9,3,10,5,7,3.43,2.04,1.78,0.292,1.58,0.32,65.50%,6.01,5.52,999,2.86,0.3,0.96
314,Peyton Battenfield,NYM,2,10,19.2,0,3,1,0,0,20,11,4,15,7,6.74,3.29,2.05,1.76,0.258,1.37,0.274,69.20%,5.07,5.48,999,1.83,-0.32,1
315,Justin Dunn,,4,4,20,1,2,0,0,0,19,12,4,16,10,7.1,4.56,1.55,1.89,0.251,1.48,0.265,68.80%,5.49,6.14,999,1.98,0.41,0.86
316,Cory Abbott,,2,10,19,1,1,0,0,1,18,11,4,19,9,8.85,4.32,2.05,1.72,0.251,1.45,0.29,69.70%,5.19,5.4,999,3.8,-0.99,0.9
317,Hunter Gaddis,CLE,3,16,32.1,2,2,0,0,1,34,19,6,25,12,6.92,3.31,2.09,1.76,0.265,1.41,0.285,68.10%,5.28,5.54,999,3.43,-0.52,0.67
318,Devin Smeltzer,MIA,1,9,15.2,1,1,1,0,1,17,9,3,11,6,6.22,3.37,1.85,1.76,0.278,1.49,0.294,73.30%,4.96,5.79,999,2.44,-0.64,1.01
319,Chase De Jong,,1,11,22,1,1,0,0,1,22,13,5,18,10,7.28,3.94,1.85,1.88,0.253,1.42,0.27,69.10%,5.3,5.93,999,1.29,0.82,0.86
