#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
81,Matt Duffy,TEX,54,163,149,38,6,0,1,15,13,11,31,2,1,0,6.60%,19.30%,0.068,0.311,0.252,0.309,0.32,0.629,0.281,74,999,3.25,1,1.66
82,Jacob Amaya,MIA,22,78,70,16,4,0,1,9,7,7,16,0,1,0,8.70%,21.00%,0.101,0.282,0.228,0.298,0.329,0.628,0.28,72,999,5.31,0.79,1.82
83,Mark Mathias,CIN,15,40,35,8,2,0,1,4,4,4,11,0,1,0,10.20%,26.60%,0.139,0.3,0.231,0.316,0.37,0.686,0.303,83,999,0.84,1.42,1.98
84,Alan Trejo,COL,40,139,129,32,7,0,3,15,16,8,33,1,2,1,5.50%,23.60%,0.143,0.302,0.246,0.293,0.389,0.682,0.295,68,749.7,1.72,-1.34,1.6
85,Brett Wisely,SFG,24,85,75,17,4,0,1,9,8,7,22,1,2,1,8.50%,26.50%,0.112,0.288,0.219,0.291,0.331,0.622,0.276,72,999,3.02,0.06,1.79
86,David Fletcher,ATL,38,143,134,35,6,0,1,16,12,7,13,1,2,1,4.80%,9.10%,0.066,0.287,0.264,0.303,0.33,0.632,0.279,71,750.8,2.54,-0.41,1.74
87,Danny Mendick,,23,72,66,16,3,0,1,8,7,5,15,1,1,0,7.20%,20.00%,0.1,0.287,0.238,0.299,0.338,0.637,0.283,76,999,3.31,2.72,1.87
88,Zach Remillard,,24,87,78,18,3,0,1,9,7,6,23,2,2,1,7.30%,26.00%,0.09,0.302,0.226,0.297,0.316,0.613,0.275,71,999,2.54,-0.26,1.83
89,Vinny Capra,MIL,11,34,30,7,2,0,0,4,3,3,7,0,0,0,9.50%,21.40%,0.084,0.31,0.24,0.317,0.324,0.641,0.288,78,999,3.23,0.61,2
90,Hanser Alberto,,30,104,98,25,5,0,2,10,11,3,15,1,1,0,3.10%,14.50%,0.117,0.28,0.252,0.28,0.369,0.65,0.281,75,999,1.41,-0.04,1.77
91,Coco Montes,COL,9,28,26,6,1,0,1,3,3,2,8,0,0,0,7.20%,28.80%,0.159,0.317,0.241,0.301,0.4,0.701,0.305,75,734,2.27,-0.35,2.02
92,Tony Kemp,CIN,51,191,168,40,8,1,2,21,16,19,22,2,7,1,9.80%,11.60%,0.085,0.266,0.24,0.321,0.325,0.646,0.291,75,750.5,6.65,-0.44,1.58
93,Josh Harrison,,31,115,106,26,6,0,2,12,11,6,21,2,1,0,5.10%,18.10%,0.101,0.294,0.248,0.301,0.349,0.65,0.287,79,999,5.89,0.26,1.73
94,Livan Soto,LAA,8,26,23,5,1,0,0,3,2,2,6,0,0,0,8.70%,24.80%,0.055,0.295,0.219,0.29,0.274,0.564,0.257,57,999,3.32,1.13,2.01
95,David Hensley,HOU,14,53,47,10,2,0,1,6,4,6,17,0,1,0,11.00%,32.00%,0.105,0.301,0.204,0.294,0.309,0.603,0.272,71,999,3.01,0.81,1.88
96,Leury García,ATL,18,68,63,16,3,0,1,8,6,4,15,0,1,0,5.40%,21.40%,0.09,0.312,0.249,0.294,0.339,0.633,0.279,71,999,3.19,-0.53,1.89
97,Irving Lopez,,21,54,48,10,2,0,1,5,5,4,14,1,0,0,7.00%,25.70%,0.111,0.272,0.214,0.277,0.324,0.602,0.265,64,999,0.26,-0.6,1.89
98,Jonathan Araúz,LAD,21,54,49,9,2,0,1,5,6,4,14,0,0,0,7.60%,24.90%,0.12,0.239,0.194,0.258,0.313,0.572,0.253,56,999,1.89,-0.69,1.83
99,Harold Castro,,47,171,161,42,8,0,2,16,17,7,37,1,1,0,4.10%,21.90%,0.089,0.325,0.26,0.292,0.349,0.641,0.279,73,999,2.19,0.62,1.62
100,Jahmai Jones,NYY,15,40,36,8,2,0,1,4,4,4,12,0,1,0,9.80%,29.50%,0.165,0.293,0.222,0.304,0.387,0.691,0.303,88,999,3.74,0.86,1.98
101,Matthew Batten,SDP,43,151,135,30,5,0,2,16,12,14,39,1,4,1,9.10%,26.20%,0.083,0.296,0.22,0.296,0.303,0.6,0.271,68,737.3,3.56,1.69,1.57
