#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
39,Anthony Santander,BAL,140,612,551,137,29,1,28,76,87,48,132,8,3,1,7.90%,21.60%,0.211,0.275,0.248,0.315,0.459,0.775,0.331,113,142.4,1.73,0.05,0.95
40,Max Kepler,MIN,126,516,455,112,24,2,20,67,65,51,102,5,3,1,10.00%,19.70%,0.192,0.272,0.246,0.327,0.438,0.765,0.331,111,277.1,3.43,-0.26,0.31
41,TJ Friedl,CIN,130,545,480,122,22,6,15,72,59,47,92,10,22,5,8.50%,16.90%,0.163,0.284,0.255,0.331,0.418,0.748,0.325,98,155.7,2.15,0.65,0.79
42,Brandon Marsh,PHI,125,486,427,109,22,4,13,58,54,50,149,4,12,3,10.30%,30.60%,0.162,0.357,0.255,0.336,0.417,0.752,0.327,104,370.1,4.03,0.05,0.54
43,Jeff McNeil,NYM,134,559,506,141,28,2,9,64,55,36,61,12,6,1,6.50%,10.80%,0.116,0.302,0.28,0.341,0.395,0.736,0.323,103,292.5,2.71,0.11,1.03
44,Teoscar Hernández,LAD,132,557,513,134,26,1,26,71,83,35,161,6,7,2,6.30%,28.90%,0.209,0.327,0.261,0.313,0.47,0.783,0.333,110,129.3,3.28,-0.17,0.57
45,Josh Lowe,TBR,134,545,496,127,30,3,17,69,69,43,148,3,26,4,7.80%,27.10%,0.176,0.33,0.257,0.317,0.433,0.75,0.322,103,78.8,4.11,0.21,0.85
46,Tyler O'Neill,BOS,125,507,451,113,22,1,22,67,66,47,137,6,13,3,9.20%,27.10%,0.202,0.308,0.251,0.326,0.453,0.779,0.336,107,217.4,3.33,-1.81,0.33
47,Josh Naylor,CLE,133,560,509,142,30,0,21,65,86,41,81,5,8,3,7.40%,14.50%,0.185,0.294,0.279,0.336,0.464,0.8,0.34,119,125.5,2.34,0.56,0.75
48,Alek Thomas,ARI,125,482,442,114,23,5,10,59,52,30,95,5,10,3,6.20%,19.70%,0.143,0.306,0.259,0.31,0.401,0.711,0.307,91,348.4,2.56,-0.96,0.61
49,Leody Taveras,TEX,123,484,443,113,23,3,12,59,53,34,110,2,14,4,7.00%,22.70%,0.147,0.311,0.255,0.309,0.402,0.711,0.308,92,267.6,3.95,-0.9,0.66
50,Christopher Morel,CHC,129,533,479,116,22,4,26,72,73,45,163,4,10,3,8.50%,30.50%,0.221,0.308,0.242,0.311,0.463,0.773,0.33,108,196.6,3.86,1.61,0.63
51,Jorge Soler,SFG,130,557,485,117,22,0,29,71,77,62,140,6,1,0,11.10%,25.20%,0.227,0.276,0.242,0.332,0.469,0.801,0.343,117,171.1,3.8,-0.06,0.97
52,Sal Frelick,MIL,133,550,492,131,25,4,8,68,55,49,80,5,17,4,8.80%,14.50%,0.118,0.301,0.267,0.336,0.385,0.721,0.317,97,288.6,2.44,-0.55,0.94
53,Spencer Steer,CIN,136,575,508,130,29,2,20,71,74,54,124,9,9,2,9.40%,21.50%,0.184,0.299,0.256,0.336,0.439,0.775,0.336,105,114.1,3.15,0.73,0.2
54,Masataka Yoshida,BOS,135,573,516,150,30,2,16,71,73,46,75,7,6,1,8.00%,13.00%,0.159,0.312,0.29,0.354,0.45,0.804,0.347,115,195.9,2.25,-0.3,0.98
55,Brendan Donovan,STL,113,467,406,112,20,1,10,61,47,46,71,11,6,2,9.90%,15.20%,0.127,0.311,0.275,0.362,0.402,0.764,0.337,113,291.2,5.3,-0.97,0.9
56,Austin Hays,BAL,134,554,508,130,28,2,17,67,66,36,124,6,4,2,6.40%,22.40%,0.163,0.305,0.256,0.31,0.419,0.729,0.315,102,318.1,1.71,-0.43,0.18
57,Trent Grisham,NYY,94,365,314,70,15,1,13,47,41,42,99,4,9,2,11.60%,27.10%,0.183,0.277,0.222,0.321,0.405,0.726,0.317,100,530.7,3.71,0.54,0.7
58,Matt Wallner,MIN,117,458,394,91,21,2,18,57,58,50,151,12,3,1,11.00%,33.00%,0.198,0.323,0.232,0.334,0.43,0.764,0.332,112,314.8,3.64,0.94,0.35
59,Marcell Ozuna,ATL,130,544,489,125,22,1,30,72,83,48,125,3,1,1,8.90%,23.00%,0.23,0.282,0.255,0.324,0.485,0.809,0.345,115,165,3.05,-0.98,0.91
60,Alex Verdugo,NYY,125,531,482,128,27,2,13,66,57,40,82,4,4,2,7.50%,15.40%,0.148,0.295,0.267,0.326,0.414,0.74,0.32,101,313,3.2,-0.65,0.54
61,Harrison Bader,NYM,107,414,379,93,17,2,11,51,45,25,80,6,21,4,6.10%,19.40%,0.143,0.281,0.244,0.299,0.388,0.686,0.298,86,363.1,2.9,-1.19,1.12
62,Lourdes Gurriel Jr.,ARI,130,540,498,138,30,2,16,64,70,33,95,5,4,2,6.00%,17.60%,0.167,0.312,0.277,0.326,0.444,0.77,0.331,107,236.8,2.44,0.15,0.68
63,Pete Crow-Armstrong,CHC,109,362,324,81,15,3,9,49,40,26,103,5,18,4,7.10%,28.30%,0.155,0.333,0.248,0.311,0.404,0.715,0.31,95,367.6,3.85,-0.33,1.11
64,Jarren Duran,BOS,129,522,475,124,30,5,13,71,54,37,132,6,28,5,7.10%,25.40%,0.165,0.334,0.262,0.321,0.427,0.748,0.323,98,155,2.82,0.08,1.17
65,Henry Davis,PIT,109,447,388,94,19,2,14,52,50,45,107,10,8,4,10.10%,24.00%,0.166,0.298,0.243,0.335,0.409,0.744,0.324,101,249.4,3.01,-0.06,0.44
66,Jose Siri,TBR,118,457,423,94,18,3,20,61,57,26,157,4,16,4,5.80%,34.40%,0.198,0.297,0.222,0.272,0.42,0.692,0.296,85,294.3,3.61,1.75,0.94
67,Esteury Ruiz,OAK,125,500,451,112,24,2,8,59,41,30,104,12,55,9,6.10%,20.90%,0.115,0.305,0.248,0.312,0.363,0.675,0.298,92,131.3,2.36,0.71,2.74
68,Kevin Kiermaier,TOR,107,399,363,89,18,4,7,49,38,29,92,4,12,2,7.30%,23.10%,0.131,0.305,0.244,0.304,0.375,0.679,0.296,88,527.1,3.38,1.65,0.9
69,Mark Canha,DET,127,510,438,112,23,2,12,59,55,52,88,15,7,2,10.20%,17.20%,0.141,0.293,0.256,0.352,0.397,0.749,0.331,110,424.9,2.16,1.19,0.41
70,Parker Meadows,DET,123,510,457,105,21,5,13,61,49,43,124,4,15,3,8.50%,24.30%,0.151,0.285,0.23,0.3,0.381,0.681,0.296,86,289,2.87,0.12,0.82
71,Jordan Walker,STL,131,540,485,130,25,2,18,65,64,43,123,7,10,3,8.00%,22.70%,0.17,0.323,0.268,0.334,0.439,0.773,0.334,111,124.3,2.46,-0.63,0.38
72,Chris Taylor,LAD,109,425,374,87,19,2,14,54,52,43,135,5,12,3,10.10%,31.70%,0.172,0.32,0.231,0.317,0.403,0.72,0.314,97,382.6,4,0.02,0.61
73,Eloy Jiménez,CHW,125,521,477,130,23,0,22,60,72,37,106,3,0,0,7.00%,20.40%,0.191,0.307,0.273,0.327,0.464,0.791,0.338,114,239.7,4.27,0.33,0.77
74,Ramón Laureano,CLE,108,453,404,94,21,2,14,55,49,35,122,11,13,3,7.80%,26.90%,0.163,0.296,0.232,0.311,0.396,0.706,0.309,97,445.8,4.85,-0.42,0.67
75,Jackson Chourio,MIL,126,513,475,120,24,2,15,61,62,30,111,3,20,5,5.90%,21.60%,0.156,0.298,0.253,0.3,0.41,0.71,0.305,90,138.4,2.7,0.84,0.74
76,Lane Thomas,WSN,141,602,547,137,30,3,21,78,69,43,151,6,15,4,7.10%,25.00%,0.179,0.304,0.25,0.309,0.429,0.738,0.318,98,121.2,1.79,-0.39,0.46
77,Wyatt Langford,TEX,104,432,381,98,21,2,16,54,53,42,93,5,11,3,9.70%,21.60%,0.188,0.301,0.258,0.337,0.446,0.783,0.338,113,162.7,6.48,-0.86,0.57
78,Dylan Carlson,STL,94,372,326,81,19,2,9,44,40,36,73,6,4,1,9.80%,19.70%,0.152,0.293,0.25,0.333,0.401,0.734,0.321,102,589.4,3.05,-0.33,0.7
79,Bryan De La Cruz,MIA,138,562,518,138,28,1,20,63,69,37,128,3,4,1,6.60%,22.80%,0.173,0.315,0.266,0.315,0.439,0.754,0.324,102,279.4,3.52,-0.27,0.41
80,Kerry Carpenter,DET,129,534,485,125,23,2,23,66,73,38,131,8,5,2,7.10%,24.50%,0.198,0.306,0.258,0.32,0.456,0.776,0.332,111,230.1,3.19,0.61,0.36
81,Mike Yastrzemski,SFG,118,473,411,94,24,2,17,59,55,51,120,5,4,1,10.90%,25.50%,0.19,0.279,0.229,0.32,0.419,0.739,0.32,101,513.8,1.67,-0.95,0.38
82,LaMonte Wade Jr.,SFG,117,475,403,98,17,2,16,58,51,59,92,7,3,1,12.50%,19.30%,0.171,0.273,0.242,0.347,0.413,0.76,0.333,110,388.6,1.8,-0.57,0.24
83,Brent Rooker,OAK,128,518,458,105,21,1,25,60,66,48,170,9,4,1,9.20%,32.70%,0.21,0.3,0.228,0.312,0.439,0.751,0.323,110,308.9,1.69,1.21,0.83
84,Andrew Vaughn,CHW,143,597,544,142,29,1,22,69,76,40,117,9,0,0,6.60%,19.60%,0.179,0.294,0.261,0.32,0.44,0.759,0.327,106,241.8,2.78,-0.69,0.59
85,MJ Melendez,KCR,131,554,485,117,26,4,20,70,63,61,144,3,5,2,11.00%,26.00%,0.194,0.298,0.242,0.328,0.435,0.763,0.329,108,300,4.38,-0.54,0.41
86,Joc Pederson,ARI,111,434,376,95,17,3,18,57,60,47,95,7,1,1,10.90%,21.90%,0.208,0.289,0.253,0.345,0.462,0.807,0.346,117,412.4,2.71,0.24,0.36
87,Johan Rojas,PHI,90,318,292,78,14,3,5,40,33,15,72,4,21,3,4.70%,22.60%,0.115,0.337,0.266,0.309,0.381,0.689,0.3,86,360,7.72,-0.41,1.62
88,Willi Castro,MIN,112,437,393,97,19,3,10,57,42,30,102,9,25,5,6.90%,23.30%,0.143,0.306,0.247,0.313,0.39,0.703,0.307,95,291.4,2.15,0.96,1.3
89,Jake Meyers,HOU,96,358,324,76,16,2,9,42,38,26,94,5,6,2,7.20%,26.20%,0.145,0.301,0.236,0.301,0.381,0.682,0.298,88,582.6,3.9,-1.49,0.69
90,Michael A. Taylor,,97,377,343,79,13,1,13,45,43,27,113,3,9,2,7.10%,29.90%,0.163,0.3,0.231,0.291,0.394,0.685,0.297,86,586.1,2.39,-0.42,0.68
91,Luke Raley,SEA,105,404,359,83,15,1,16,50,49,29,127,12,10,2,7.20%,31.50%,0.186,0.307,0.232,0.31,0.419,0.728,0.316,104,334,2.08,1.53,0.59
92,J.D. Martinez,,108,486,438,112,25,1,22,61,74,40,135,3,1,0,8.20%,27.90%,0.217,0.315,0.256,0.32,0.473,0.793,0.337,113,249.4,4.22,0.42,0.6
93,Kyle Isbel,KCR,100,373,341,83,19,3,9,47,39,25,78,3,10,3,6.80%,20.90%,0.151,0.289,0.243,0.3,0.395,0.695,0.301,88,519.8,5.51,-0.93,0.83
94,Wilyer Abreu,BOS,111,433,378,92,20,1,13,54,51,49,113,3,10,3,11.40%,26.10%,0.164,0.308,0.242,0.332,0.406,0.738,0.323,99,381.4,3.86,1.27,0.48
95,Myles Straw,CLE,118,460,412,102,19,2,2,51,32,40,81,2,19,4,8.70%,17.60%,0.068,0.301,0.248,0.315,0.316,0.631,0.283,79,642.9,2.75,0.18,1.42
96,Andrew Benintendi,CHW,135,573,513,137,27,2,8,67,50,51,87,3,11,3,8.90%,15.20%,0.11,0.306,0.267,0.335,0.377,0.711,0.312,96,371,2.32,0.05,0.88
97,Nelson Velázquez,KCR,105,412,372,88,18,1,23,52,55,33,124,4,6,2,8.00%,30.20%,0.244,0.284,0.236,0.303,0.48,0.783,0.332,109,281.7,2.78,-0.97,0.7
98,Michael Conforto,SFG,116,472,409,101,19,0,15,56,56,52,105,8,3,1,10.90%,22.20%,0.158,0.295,0.247,0.34,0.405,0.745,0.326,105,415.8,3.06,-2.26,0.16
99,Alex Kirilloff,MIN,102,400,359,95,19,1,13,48,51,31,93,7,2,1,7.80%,23.30%,0.17,0.32,0.265,0.332,0.435,0.767,0.331,112,350.8,4.13,1.15,0.68
100,Seth Brown,OAK,118,460,416,96,22,2,20,51,62,38,123,3,6,2,8.20%,26.80%,0.204,0.276,0.231,0.298,0.434,0.732,0.313,103,471.3,2.28,-0.72,0.59
101,Starling Marte,NYM,112,470,428,112,19,2,11,59,47,28,93,10,25,6,6.00%,19.80%,0.13,0.311,0.261,0.321,0.391,0.712,0.312,96,224.8,4.21,-0.01,1.26
102,Matt Vierling,DET,103,413,373,96,18,3,8,48,39,32,85,4,7,3,7.70%,20.60%,0.13,0.311,0.258,0.321,0.388,0.708,0.31,95,428.2,3.76,0.45,0.86
103,Will Benson,CIN,108,409,349,80,16,4,13,56,43,52,126,4,16,3,12.80%,30.70%,0.178,0.316,0.229,0.335,0.406,0.741,0.325,98,313.6,3.72,0.12,0.91
104,Jarred Kelenic,ATL,126,510,455,110,26,2,17,66,63,48,143,3,14,4,9.40%,28.10%,0.179,0.312,0.242,0.317,0.421,0.738,0.318,97,220.9,3.74,-0.55,0.5
105,Drew Waters,KCR,87,328,295,71,15,3,9,41,33,27,101,3,12,3,8.20%,30.80%,0.162,0.33,0.239,0.307,0.401,0.708,0.308,93,486.8,5.17,0.19,1.07
106,Jesús Sánchez,MIA,117,450,405,100,20,3,17,52,57,39,117,4,3,1,8.50%,26.00%,0.189,0.303,0.247,0.317,0.436,0.753,0.324,102,398.4,1.78,0.3,0.34
107,Mike Tauchman,CHC,89,356,306,74,16,1,7,47,35,44,83,3,6,2,12.30%,23.40%,0.124,0.309,0.242,0.341,0.366,0.707,0.315,98,659.8,1.98,1.43,0.79
108,Tommy Pham,,118,481,425,105,21,2,14,62,54,48,114,4,15,3,10.00%,23.60%,0.158,0.303,0.248,0.327,0.406,0.734,0.32,101,332.5,1.31,-0.19,0.58
109,Jake Fraley,CIN,99,385,336,85,17,1,14,49,51,41,82,5,15,4,10.50%,21.30%,0.177,0.292,0.252,0.339,0.429,0.768,0.333,103,336.1,3.39,0.39,0.83
110,Jason Heyward,LAD,97,357,320,79,16,1,11,45,40,31,67,4,3,1,8.60%,18.70%,0.164,0.276,0.246,0.318,0.409,0.727,0.316,99,548.4,3.05,-1.12,0.61
111,Nick Castellanos,PHI,144,616,570,150,32,1,24,75,87,37,156,4,8,2,5.90%,25.40%,0.189,0.319,0.263,0.31,0.452,0.762,0.325,103,110.9,1.84,0.7,0.55
112,Hunter Renfroe,KCR,116,480,435,106,24,0,20,57,63,37,106,3,1,0,7.80%,22.00%,0.194,0.276,0.244,0.306,0.438,0.744,0.32,101,375.3,3.24,-0.19,0.41
113,Mitch Haniger,SEA,110,452,407,95,18,1,19,54,58,36,118,6,1,0,7.90%,26.00%,0.187,0.278,0.233,0.301,0.42,0.721,0.311,101,401.9,3.49,-1.45,0.42
114,Ceddanne Rafaela,BOS,74,283,264,68,14,2,7,37,32,13,67,3,11,3,4.40%,23.80%,0.151,0.318,0.257,0.297,0.409,0.706,0.304,86,368.2,10.26,1.17,1.23
115,Isiah Kiner-Falefa,TOR,93,356,325,83,14,1,4,40,32,23,59,4,13,4,6.50%,16.50%,0.088,0.299,0.256,0.311,0.344,0.655,0.29,83,521.2,2.34,-0.15,1.32
116,Sean Bouchard,COL,100,346,301,77,18,2,13,47,43,38,94,3,6,2,10.90%,27.00%,0.199,0.323,0.254,0.34,0.454,0.794,0.342,100,515.5,5.74,0.44,0.7
117,Ryan O'Hearn,BAL,105,394,364,94,18,1,15,47,55,23,93,3,3,1,5.90%,23.70%,0.182,0.307,0.26,0.308,0.441,0.749,0.32,105,404.8,2.88,-0.99,0.59
118,Lawrence Butler,OAK,80,307,281,65,13,1,9,32,32,21,81,2,6,1,6.90%,26.30%,0.154,0.29,0.232,0.288,0.387,0.675,0.292,88,639,4.21,-1.87,0.97
119,Zach McKinstry,DET,93,363,325,77,15,3,8,42,32,30,81,4,10,3,8.30%,22.40%,0.14,0.29,0.236,0.306,0.377,0.683,0.299,88,425.6,2.76,0.17,0.95
120,Ezequiel Duran,TEX,82,314,291,74,16,2,10,38,36,17,82,4,6,2,5.50%,26.10%,0.168,0.319,0.254,0.303,0.422,0.725,0.312,95,343,3.73,0.75,0.97
121,Dylan Moore,SEA,63,213,185,38,9,1,7,27,22,21,65,5,11,4,10.00%,30.70%,0.172,0.278,0.208,0.306,0.381,0.687,0.302,95,727.1,3.11,0.82,1.36
122,Victor Robles,WSN,97,362,319,76,16,2,6,42,30,25,79,10,15,4,6.90%,21.70%,0.116,0.298,0.24,0.313,0.355,0.668,0.296,83,555,5.71,-0.88,1.26
123,Manuel Margot,MIN,79,308,283,75,16,1,6,38,36,20,51,2,8,3,6.50%,16.50%,0.125,0.304,0.265,0.317,0.391,0.708,0.308,93,627.3,2.93,0.34,1.18
124,Jake McCarthy,ARI,63,238,214,55,10,3,3,30,21,18,49,4,17,3,7.60%,20.50%,0.121,0.319,0.258,0.325,0.379,0.704,0.31,93,444.1,8.25,-0.33,1.75
125,Austin Slater,SFG,73,245,216,55,10,1,6,31,25,25,67,3,6,2,10.20%,27.30%,0.146,0.337,0.253,0.339,0.399,0.738,0.325,105,746.8,3.59,-1.79,1.29
126,Garrett Mitchell,MIL,85,339,302,73,13,2,8,41,34,29,103,4,12,2,8.60%,30.50%,0.137,0.334,0.24,0.312,0.377,0.689,0.302,88,388.7,6.22,0.93,1.03
127,Connor Joe,PIT,91,368,319,77,17,2,8,45,36,41,82,5,3,2,11.00%,22.30%,0.146,0.298,0.241,0.335,0.387,0.722,0.319,98,612.3,1.22,-0.46,0.69
128,Akil Baddoo,DET,78,294,259,60,12,3,8,36,28,32,73,1,11,3,10.80%,25.00%,0.152,0.294,0.233,0.317,0.385,0.702,0.307,94,692.6,5.15,-0.37,1.18
129,Josh Smith,TEX,52,183,157,36,8,1,4,22,17,19,40,5,3,1,10.10%,22.10%,0.144,0.278,0.229,0.325,0.373,0.698,0.31,93,738.2,3.04,-0.04,1.39
130,Mauricio Dubón,HOU,86,331,307,80,15,1,7,41,34,16,48,3,5,2,4.90%,14.60%,0.121,0.287,0.261,0.3,0.382,0.682,0.296,87,488.7,2.73,0.79,1.03
131,JJ Bleday,OAK,116,462,398,85,19,2,15,51,47,56,115,3,6,2,12.10%,24.90%,0.167,0.258,0.213,0.313,0.38,0.693,0.305,97,601.4,1.37,-1.61,0.67
132,Jakob Marsee,SDP,42,173,150,35,7,1,4,21,16,20,39,2,6,1,11.40%,22.90%,0.141,0.285,0.232,0.327,0.373,0.7,0.31,95,999,4.55,-1.81,1.53
133,Brenton Doyle,COL,125,481,446,104,19,4,14,57,51,25,161,4,20,4,5.20%,33.50%,0.154,0.328,0.233,0.279,0.387,0.665,0.287,63,386.1,3.39,0.28,0.96
134,Adam Duvall,,91,384,349,77,16,1,20,47,57,26,119,5,3,1,6.70%,30.90%,0.225,0.269,0.222,0.283,0.447,0.729,0.31,95,428.6,4.16,-0.47,0.64
135,Will Brennan,CLE,78,300,279,76,16,1,4,31,31,17,41,3,8,2,5.50%,13.50%,0.104,0.305,0.272,0.318,0.376,0.694,0.303,93,625.1,6.9,-0.22,1.43
136,Estevan Florial,CLE,66,251,223,50,11,1,7,30,26,24,82,2,10,3,9.40%,32.70%,0.151,0.317,0.224,0.302,0.374,0.677,0.296,88,579.3,2.17,-0.59,1.22
137,Brian Anderson,SEA,49,193,170,39,8,0,5,21,21,18,54,4,1,0,9.60%,27.80%,0.134,0.304,0.229,0.316,0.363,0.679,0.302,94,750.5,5.95,-0.56,1.26
138,Edward Olivares,PIT,82,323,296,78,16,2,9,40,34,20,58,5,9,3,6.10%,18.00%,0.157,0.298,0.263,0.318,0.42,0.738,0.319,98,446.4,3.54,-0.26,1.12
