#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
32,Jordan Romano,TOR,0,57,59,4,4,0,31,1,49,22,7,69,21,10.59,3.27,3.24,1.05,0.222,1.19,0.292,76.00%,3.4,3.64,70.3,1.89,0.51,1.91
33,Shawn Armstrong,TBR,1,56,62.1,2,2,0,1,10,57,25,7,65,18,9.34,2.57,3.63,1.05,0.239,1.19,0.299,73.30%,3.63,3.72,747.6,2.09,-0.39,0.89
34,Aaron Bummer,ATL,0,58,57.2,4,3,0,1,14,49,24,4,69,27,10.81,4.15,2.61,0.68,0.228,1.32,0.314,70.90%,3.79,3.4,747.6,3.58,-1.77,0.51
35,Evan Phillips,LAD,0,60,61.2,4,3,0,28,4,50,22,7,69,19,10.14,2.7,3.76,1.01,0.219,1.11,0.283,75.90%,3.21,3.52,91.4,2.27,2.22,1.83
36,Brusdar Graterol,LAD,0,60,61,3,2,0,5,16,57,22,5,50,15,7.44,2.22,3.36,0.71,0.243,1.18,0.291,73.40%,3.26,3.53,412.2,1.61,0.8,1.08
37,Jason Adam,TBR,0,56,56.2,3,3,0,11,15,43,21,7,68,19,10.84,3.03,3.57,1.05,0.207,1.09,0.274,74.60%,3.3,3.65,320.1,1.12,0.16,1.15
38,Taylor Rogers,SFG,0,57,56.1,4,4,0,3,15,49,24,6,68,21,10.86,3.3,3.29,1,0.231,1.24,0.31,71.60%,3.84,3.58,681.9,2.26,-1.49,0.59
39,Ryan Walker,SFG,2,51,55.2,4,3,0,0,6,51,23,6,64,21,10.3,3.42,3.01,1.01,0.239,1.29,0.313,74.70%,3.68,3.69,747,2.34,-1.11,0.63
40,Adbert Alzolay,CHC,0,57,63.2,3,3,0,27,2,57,25,8,69,18,9.77,2.5,3.9,1.12,0.235,1.17,0.297,74.10%,3.57,3.7,114.4,1.79,-1.47,1.78
41,Kevin Ginkel,ARI,0,61,62.2,4,3,0,5,14,54,25,6,69,24,9.9,3.48,2.85,0.85,0.227,1.24,0.296,72.90%,3.58,3.57,485.8,1.77,1.66,0.71
42,Abner Uribe,MIL,0,58,57.2,3,2,0,1,14,43,22,4,75,35,11.72,5.5,2.13,0.66,0.205,1.36,0.296,74.80%,3.46,3.56,499.4,2.47,-2.41,0.82
43,Alex Vesia,LAD,0,57,55,3,3,0,1,13,45,23,7,70,22,11.52,3.56,3.23,1.2,0.222,1.22,0.299,74.50%,3.73,3.74,741.7,2.24,-1.92,0.68
44,Will Vest,DET,1,58,60,2,2,0,2,12,56,25,6,63,21,9.49,3.07,3.09,0.92,0.243,1.27,0.31,72.00%,3.8,3.61,709.1,2.07,-0.62,0.71
45,Ian Hamilton,NYY,0,52,60.1,3,3,0,1,9,51,24,5,68,27,10.16,3.97,2.56,0.82,0.226,1.29,0.299,73.70%,3.58,3.64,709.1,1.52,0.09,0.7
46,Orion Kerkering,PHI,0,52,52.1,3,2,0,3,8,47,22,6,60,18,10.34,3.11,3.32,1.02,0.236,1.24,0.309,72.90%,3.74,3.56,999,2.8,-0.84,0.74
47,Alexis Díaz,CIN,0,64,65.1,5,4,0,31,2,51,28,8,81,32,11.13,4.45,2.5,1.09,0.212,1.27,0.284,73.30%,3.84,4.08,76,3.35,0.64,1.87
48,Joel Payamps,MIL,0,61,65,4,4,0,3,17,61,27,8,64,19,8.87,2.62,3.39,1.12,0.243,1.22,0.296,73.90%,3.72,3.93,530.1,1.72,0.94,0.68
49,Andrew Nardi,MIA,0,64,64.1,5,3,0,4,16,55,26,8,79,27,11,3.75,2.94,1.09,0.227,1.27,0.303,74.90%,3.68,3.79,504,4.37,-0.16,0.53
50,Caleb Thielbar,MIN,0,53,52.2,3,2,0,1,15,46,22,7,63,17,10.79,2.84,3.81,1.23,0.232,1.19,0.302,74.40%,3.7,3.66,746.5,1.73,-1.06,0.78
51,Pierce Johnson,ATL,0,58,56.1,3,4,0,2,13,49,24,7,75,24,12.01,3.89,3.08,1.1,0.231,1.31,0.324,74.40%,3.82,3.56,653.8,3.83,-1.16,0.55
52,Josh Sborz,TEX,0,56,59.1,4,4,0,2,14,53,28,8,72,23,10.92,3.55,3.08,1.22,0.233,1.28,0.307,70.70%,4.21,3.86,581.1,3.29,-1.28,0.35
53,Tim Mayza,TOR,0,61,55.2,4,2,0,0,17,51,20,5,55,17,8.91,2.8,3.19,0.88,0.241,1.23,0.301,76.20%,3.28,3.57,749.1,1.91,-1.41,0.95
54,Gregory Santos,SEA,0,58,60.1,2,2,0,3,11,57,25,5,61,20,9.09,3.04,2.99,0.73,0.247,1.29,0.315,70.90%,3.77,3.46,999,2.77,-0.57,0.76
55,Sam Hentges,CLE,0,57,60.2,3,2,0,1,13,56,25,6,65,23,9.66,3.42,2.82,0.82,0.24,1.29,0.311,73.20%,3.65,3.52,749.8,3.33,-0.8,0.71
56,Jeff Hoffman,PHI,0,58,63,4,3,0,4,11,52,28,8,75,28,10.75,3.95,2.72,1.13,0.222,1.27,0.292,72.60%,3.94,3.98,446.6,2.02,-3.54,0.48
57,Robert Stephenson,LAA,0,58,57.2,3,3,0,13,12,47,24,9,72,18,11.2,2.78,4.03,1.41,0.22,1.13,0.286,73.50%,3.81,3.81,211.4,3.43,0.32,1.12
58,Brock Stewart,MIN,0,55,55.2,3,2,0,1,13,47,22,6,70,23,11.33,3.69,3.07,1.04,0.224,1.25,0.306,75.50%,3.54,3.61,644.5,4.7,-1.67,0.79
