#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
1,Freddie Freeman,LAD,153,677,587,180,39,2,26,109,96,75,108,9,15,3,11.10%,15.90%,0.206,0.337,0.307,0.392,0.513,0.904,0.384,145,8.8,3.83,0.56,1.17
2,Matt Olson,ATL,153,663,565,151,29,1,40,102,112,87,148,6,1,1,13.10%,22.30%,0.269,0.29,0.267,0.368,0.536,0.904,0.381,139,17.2,2.14,1.17,1.65
3,Bryce Harper,PHI,147,632,532,151,34,1,29,95,93,89,135,5,13,4,14.10%,21.40%,0.234,0.327,0.285,0.389,0.519,0.908,0.384,142,18.1,3.51,1.32,0.58
4,Vladimir Guerrero Jr.,TOR,153,663,584,165,32,1,32,89,98,67,99,7,6,2,10.10%,15.00%,0.22,0.291,0.282,0.361,0.502,0.863,0.367,137,30.6,4.33,-0.5,0.97
5,Yandy Díaz,TBR,137,594,513,151,29,1,17,82,68,71,86,6,1,1,12.00%,14.50%,0.157,0.325,0.294,0.385,0.452,0.837,0.365,132,137.5,1.96,1.38,1.18
6,Pete Alonso,NYM,152,648,563,140,24,1,41,89,110,65,139,15,4,1,10.10%,21.40%,0.266,0.256,0.25,0.34,0.516,0.856,0.36,129,27.7,2.73,-0.47,1.73
7,Paul Goldschmidt,STL,147,645,559,149,29,1,24,88,84,77,145,4,7,2,12.00%,22.50%,0.185,0.317,0.266,0.357,0.451,0.808,0.35,121,84.6,1.83,1.26,0.58
8,Triston Casas,BOS,142,580,495,127,25,2,27,77,79,78,138,3,1,0,13.50%,23.80%,0.223,0.299,0.256,0.359,0.479,0.838,0.36,124,110.7,2.74,-0.12,0.75
9,Cody Bellinger,CHC,136,599,540,140,28,2,23,83,83,48,119,4,17,4,8.00%,19.80%,0.191,0.287,0.259,0.32,0.45,0.77,0.328,107,64.4,3.82,0.86,0.4
10,Christian Walker,ARI,149,630,556,141,29,2,28,81,91,61,127,7,7,2,9.60%,20.20%,0.209,0.278,0.253,0.332,0.462,0.794,0.34,113,96.8,1.2,-0.13,0.85
11,Vinnie Pasquantino,KCR,132,561,492,135,31,2,20,68,74,59,71,6,1,1,10.40%,12.70%,0.193,0.283,0.274,0.355,0.467,0.822,0.353,124,186.1,3.44,-0.45,0.66
12,Nathaniel Lowe,TEX,151,645,567,153,29,2,20,79,77,70,147,4,2,1,10.90%,22.80%,0.163,0.331,0.27,0.354,0.433,0.787,0.342,116,210.9,2.56,-1.54,0.64
