#,Name,Team,W,L,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
883,Stephen Nogosek,WSN,0,1,4.64,10,0,0,0,19,84,19,11,10,4,8,0,1,18
884,Ricky Karcher,ARI,1,1,5.24,14,0,0,0,15.2,73,12,10,9,2,15,0,1,16
885,Adrián Martínez,,1,4,4.75,33,1,0,2,43.2,192,47,25,23,6,16,1,3,36
886,Drew VerHagen,,3,1,4.64,35,0,0,6,37.2,164,36,21,19,6,16,1,3,35
887,Amos Willingham,WSN,1,1,5.19,24,0,0,1,27,118,29,17,16,5,9,1,1,21
888,Declan Cronin,MIA,1,1,5.16,21,0,0,2,22.1,101,25,14,13,3,9,0,2,16
889,Jonathan Heasley,BAL,1,2,5.13,19,1,0,1,26.2,116,28,16,15,5,10,0,1,20
890,Mason Englert,DET,2,2,5,21,0,0,1,27.2,121,30,17,15,5,9,0,1,23
891,Devin Smeltzer,MIA,1,1,4.96,9,1,0,1,15.2,70,17,9,9,3,6,0,1,11
892,Justin Garza,,1,0,5.38,11,0,0,1,14,63,15,9,8,2,7,0,1,12
893,Hobie Harris,MIN,1,1,5.46,12,0,0,0,14.1,69,18,10,9,2,8,0,1,11
894,Luis Patiño,SDP,2,3,5.02,29,3,0,2,44.2,200,45,27,25,7,24,1,2,36
895,Adam Oller,CLE,1,2,5.58,15,1,0,1,23.1,104,25,16,14,4,11,0,1,19
896,Tim Hill,CHW,2,3,4.83,53,0,1,11,49.2,218,54,29,27,6,16,1,4,32
897,Tyler Beede,,1,1,5.27,15,0,0,1,17.1,80,19,11,10,2,9,0,2,13
898,Chad Kuhl,CHW,1,2,5.35,25,2,0,1,31,139,31,20,19,6,15,1,2,28
899,Matt Koch,COL,2,1,5.72,25,0,0,4,25.1,112,29,18,16,5,9,0,1,19
900,Matt Bowman,,1,1,4.98,21,0,0,3,22,98,23,13,12,4,10,1,1,18
901,Jackson Kowar,SEA,2,2,5.16,35,0,0,3,42,191,44,26,24,6,22,0,2,42
902,Jimmy Lambert,CHW,2,3,4.9,46,1,3,8,50.2,224,50,30,28,9,26,2,2,51
903,Casey Lawrence,,1,1,5.84,12,0,0,3,18.2,83,22,13,12,4,6,1,1,14
904,Collin Snider,SEA,1,1,5.09,23,0,0,3,23.2,107,25,15,13,3,13,0,1,16
905,Chase De Jong,,1,1,5.3,11,1,0,1,22,97,22,14,13,5,10,0,2,18
906,Bryan Shaw,CHW,3,2,4.78,50,0,1,6,52.1,234,50,30,28,7,28,1,4,46
907,Thaddeus Ward,WSN,1,1,5.23,35,0,0,2,39.1,177,38,25,23,6,23,1,2,35
908,Deivi García,CHW,2,4,5.28,47,1,1,7,58.2,267,58,37,34,11,35,1,4,55
