#,Name,Team,W,L,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
689,Zach Brzykcy,WSN,1,1,4.57,16,0,0,1,16.1,71,15,9,8,2,8,0,1,16
690,Tyler Duffey,,1,1,4.52,23,0,0,2,25.1,111,25,14,13,4,11,0,1,23
691,Ryan Bergert,SDP,0,1,4.78,2,2,0,0,8,35,7,5,4,2,4,0,0,7
692,Bailey Horn,CHW,1,0,4.85,6,0,0,0,8,35,8,5,4,1,4,0,0,8
693,Chasen Shreve,TEX,1,1,4.59,21,0,0,3,21.1,92,21,12,11,3,8,0,1,21
694,Trevor Brigden,TBR,1,1,4.35,13,0,0,1,14.1,61,13,8,7,2,5,0,1,14
695,Kade McClure,,1,1,4.57,14,0,0,1,14.1,62,15,8,7,2,5,0,1,11
696,Tim Cate,WSN,1,1,4.68,10,0,0,1,10.1,46,11,6,5,1,4,0,0,8
697,Hayden Juenger,TOR,1,1,4.35,12,0,0,1,12,51,11,6,6,2,5,0,1,12
698,Bryan Hoeing,MIA,2,2,4.89,30,2,0,2,39.1,170,42,23,21,6,12,1,2,29
699,Noah Skirrow,PHI,0,0,5.85,1,1,0,0,6,27,7,4,4,1,2,0,0,4
700,Dinelson Lamet,LAD,1,1,5.28,11,0,0,1,11.2,52,12,8,7,2,6,0,1,13
701,Roddery Muñoz,MIA,1,1,4.52,15,0,0,1,15,67,15,8,8,2,7,0,1,14
702,Kyle Crick,NYM,1,1,4.27,16,0,0,4,15.2,67,12,8,7,2,8,0,1,16
703,Glenn Otto,SDP,1,2,4.6,22,1,0,2,29.1,127,27,16,15,4,14,0,2,28
704,Matt Andriese,MIA,0,0,4.62,6,0,0,1,6,26,7,3,3,1,2,0,0,5
705,Jordan Weems,WSN,3,3,4.57,57,0,0,10,61,264,55,34,31,9,29,3,3,63
706,Jhonathan Diaz,,1,1,4.38,14,1,0,2,18,80,18,10,9,2,8,0,2,15
707,Max Kranick,NYM,1,1,4.43,15,0,0,2,15.1,66,15,8,8,2,5,0,1,14
708,David Parkinson,PHI,1,1,5.07,4,1,0,0,8.1,37,9,5,5,2,3,0,0,6
