#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
1,José Ramírez,CLE,151,656,576,160,37,4,26,90,94,69,76,5,25,7,10.50%,11.60%,0.215,0.279,0.278,0.356,0.493,0.849,0.358,131,15.8,3.83,-2.45,0.31
2,Gunnar Henderson,BAL,143,611,540,141,28,6,26,89,79,62,153,5,12,3,10.10%,25.00%,0.216,0.316,0.261,0.34,0.477,0.818,0.35,126,31.7,1.73,-0.86,0.45
3,Austin Riley,ATL,153,665,592,165,32,2,38,100,103,57,159,10,2,1,8.50%,23.90%,0.253,0.318,0.279,0.349,0.532,0.882,0.372,133,19.8,2.63,-0.43,1.33
4,Rafael Devers,BOS,149,645,573,161,35,1,35,93,99,60,123,8,4,2,9.40%,19.00%,0.247,0.303,0.282,0.356,0.529,0.885,0.373,133,24.1,3.01,-0.7,1.08
5,Alex Bregman,HOU,149,652,555,146,31,2,23,92,86,83,79,8,2,1,12.70%,12.20%,0.184,0.271,0.264,0.365,0.448,0.814,0.354,127,101.2,1.42,-1.04,0.88
6,Royce Lewis,MIN,131,559,505,137,27,2,26,78,81,46,125,5,13,4,8.20%,22.30%,0.218,0.309,0.271,0.336,0.489,0.825,0.352,127,54.7,2.94,-0.16,0.22
7,Manny Machado,SDP,140,600,537,144,26,1,28,79,91,55,111,2,6,2,9.10%,18.50%,0.211,0.288,0.269,0.336,0.48,0.816,0.346,119,67.3,3.57,-0.95,0.73
8,Nolan Arenado,STL,145,617,560,146,29,2,26,74,91,47,92,5,4,1,7.60%,14.90%,0.196,0.27,0.262,0.321,0.457,0.778,0.331,109,105.9,3.05,-1,0.8
9,Matt Chapman,SFG,125,551,479,112,26,2,24,69,70,61,156,7,3,1,11.00%,28.20%,0.209,0.292,0.234,0.327,0.443,0.77,0.333,110,277.7,3.53,0.92,0.73
10,Josh Jung,TEX,138,586,539,139,28,2,26,75,82,38,166,6,3,1,6.40%,28.20%,0.202,0.324,0.259,0.313,0.461,0.774,0.331,108,125.3,1.84,-0.92,0.66
11,Ke'Bryan Hayes,PIT,137,584,535,142,30,5,16,71,66,42,118,3,14,5,7.20%,20.20%,0.163,0.311,0.265,0.32,0.427,0.747,0.322,100,165.2,2.87,-0.79,0.4
12,Max Muncy,LAD,129,547,457,102,19,1,28,78,82,79,138,7,2,1,14.40%,25.20%,0.233,0.25,0.223,0.343,0.456,0.799,0.344,118,185.3,2.82,-0.22,1.3
13,Isaac Paredes,TBR,132,541,468,113,23,1,24,66,75,57,95,11,1,0,10.60%,17.50%,0.204,0.253,0.242,0.336,0.446,0.782,0.339,114,186.9,2.58,-0.78,0.72
14,Jake Burger,MIA,141,578,526,132,26,2,30,71,81,38,157,10,1,1,6.60%,27.10%,0.228,0.297,0.251,0.311,0.479,0.79,0.336,110,153.7,2,-1.25,0.95
15,Elly De La Cruz,CIN,133,563,513,128,25,6,20,79,68,44,179,3,36,8,7.80%,31.70%,0.189,0.34,0.249,0.31,0.438,0.749,0.32,95,26.9,2.88,1.19,1.33
16,Jordan Westburg,BAL,110,431,389,98,22,2,12,51,50,34,106,5,7,2,7.80%,24.60%,0.163,0.314,0.253,0.317,0.416,0.733,0.318,103,317.3,4.92,1.32,0.5
17,Maikel Garcia,KCR,131,542,490,131,26,3,7,66,51,43,111,2,23,6,7.90%,20.50%,0.107,0.331,0.268,0.327,0.375,0.702,0.308,93,207.1,3.24,-0.2,1.26
18,Eugenio Suárez,ARI,141,594,516,120,23,1,23,68,79,62,176,10,1,0,10.50%,29.60%,0.183,0.299,0.232,0.323,0.415,0.738,0.321,100,280.4,3.17,-0.48,0.97
19,Yoán Moncada,CHW,131,544,490,121,26,1,17,61,62,46,150,5,2,1,8.50%,27.70%,0.161,0.322,0.248,0.317,0.409,0.726,0.315,98,372,2.85,-1.04,0.15
20,Anthony Rendon,LAA,103,434,370,94,20,1,11,51,52,51,72,7,3,1,11.90%,16.60%,0.151,0.284,0.255,0.353,0.406,0.758,0.333,110,428.1,4.97,-0.43,0.46
21,Alec Bohm,PHI,141,595,544,149,28,1,16,72,77,40,102,5,4,1,6.80%,17.10%,0.146,0.307,0.273,0.326,0.419,0.745,0.322,101,169.4,2.24,1.76,0.67
22,Ryan McMahon,COL,143,597,527,129,27,2,22,75,73,62,172,4,6,3,10.40%,28.80%,0.184,0.318,0.245,0.327,0.429,0.756,0.327,89,226.4,2.46,0.51,0.52
23,DJ LeMahieu,NYY,119,509,448,114,19,2,11,61,47,53,94,3,3,1,10.50%,18.50%,0.121,0.297,0.253,0.335,0.375,0.71,0.314,97,349.4,4.05,-0.87,0.46
24,Noelvi Marte,CIN,120,486,439,117,24,2,13,60,55,39,101,4,16,4,8.00%,20.80%,0.154,0.316,0.266,0.33,0.42,0.75,0.325,98,164,4.52,-0.06,0.76
25,Luis Urías,SEA,89,346,299,67,13,1,10,38,36,36,80,8,2,1,10.30%,23.20%,0.152,0.271,0.225,0.322,0.377,0.7,0.31,100,581.1,3.21,-0.31,0.61
26,Jon Berti,MIA,103,391,350,91,16,2,6,48,32,34,79,4,21,5,8.60%,20.10%,0.11,0.317,0.26,0.329,0.369,0.699,0.308,91,428.8,3.38,-0.9,1.5
27,Brayan Rocchio,CLE,100,408,369,91,20,2,6,48,41,30,78,4,11,3,7.30%,19.10%,0.115,0.295,0.247,0.308,0.362,0.67,0.295,87,494.6,3.1,-0.91,0.88
28,Junior Caminero,TBR,75,316,290,77,12,1,12,38,43,21,65,3,3,1,6.70%,20.60%,0.172,0.304,0.265,0.319,0.437,0.756,0.325,105,252,8.99,0.67,0.93
29,Nick Madrigal,CHC,84,321,293,82,15,2,1,36,28,18,31,6,8,2,5.50%,9.70%,0.078,0.309,0.281,0.334,0.359,0.692,0.307,92,684.2,3.16,-0.92,1.58
30,Jeimer Candelario,CIN,131,548,487,122,29,2,20,69,72,49,125,8,4,1,8.90%,22.70%,0.19,0.296,0.251,0.328,0.441,0.769,0.332,102,214.8,3.07,-0.44,0.33
31,Gio Urshela,DET,82,322,298,82,15,1,7,35,37,19,58,2,2,1,5.90%,18.10%,0.134,0.316,0.274,0.319,0.408,0.727,0.314,99,535.9,1.43,-0.46,1.2
32,Joey Ortiz,MIL,93,327,299,77,17,2,6,38,35,21,67,3,5,1,6.40%,20.40%,0.128,0.309,0.257,0.308,0.385,0.693,0.301,87,434.3,3.73,-0.55,1.03
33,Ramón Urías,BAL,78,299,270,67,14,1,7,33,32,22,73,5,2,1,7.30%,24.20%,0.131,0.314,0.249,0.314,0.379,0.693,0.304,94,692.5,2.26,0.9,0.99
34,Patrick Wisdom,CHC,92,353,312,66,12,0,20,45,51,34,126,4,5,2,9.60%,35.70%,0.237,0.271,0.21,0.295,0.448,0.742,0.318,100,566.4,3.39,-1.99,0.78
35,Brett Baty,NYM,109,433,389,93,17,0,13,49,48,37,116,4,2,1,8.60%,26.90%,0.142,0.306,0.238,0.31,0.38,0.689,0.303,90,370,2.32,-0.31,0.28
36,Jared Triolo,PIT,65,263,233,59,13,1,4,31,24,26,68,2,7,2,9.90%,25.70%,0.117,0.336,0.252,0.33,0.369,0.699,0.309,91,542.3,7.74,0.77,1.34
37,J.D. Davis,SFG,110,437,383,95,18,1,14,50,50,44,126,6,1,0,10.00%,28.80%,0.159,0.329,0.248,0.332,0.406,0.738,0.323,103,440.1,3.38,0.54,0.35
38,Jean Segura,CLE,65,262,239,63,10,1,5,29,25,17,40,3,6,2,6.60%,15.20%,0.116,0.294,0.262,0.32,0.378,0.698,0.306,92,746,4.03,-0.55,1.38
39,Santiago Espinal,TOR,79,285,259,68,14,0,4,31,28,21,41,2,4,2,7.20%,14.40%,0.099,0.297,0.261,0.319,0.359,0.678,0.299,89,734.6,2.38,-0.14,1.28
40,Josh Donaldson,,59,235,204,45,10,0,10,28,30,26,61,2,1,0,11.20%,25.90%,0.195,0.259,0.221,0.314,0.416,0.73,0.317,99,746.2,3.93,-0.25,0.96
41,Josh Rojas,SEA,82,311,277,66,14,1,5,37,29,29,70,1,10,2,9.30%,22.40%,0.112,0.298,0.239,0.311,0.352,0.663,0.292,88,488.4,2.37,0.98,1.14
42,Abraham Toro,OAK,95,336,302,70,17,1,8,35,35,26,67,5,3,1,7.80%,19.90%,0.14,0.271,0.232,0.301,0.372,0.673,0.295,90,662.8,2.22,-1.42,0.77
43,Isiah Kiner-Falefa,TOR,93,356,325,83,14,1,4,40,32,23,59,4,13,4,6.50%,16.50%,0.088,0.299,0.256,0.311,0.344,0.655,0.29,83,521.2,2.34,-0.15,1.32
44,Kyle Farmer,MIN,73,279,254,63,12,1,6,32,32,16,58,6,2,1,5.70%,20.60%,0.13,0.293,0.247,0.305,0.377,0.682,0.298,89,480.4,3.47,-0.2,1.01
45,Zach McKinstry,DET,93,363,325,77,15,3,8,42,32,30,81,4,10,3,8.30%,22.40%,0.14,0.29,0.236,0.306,0.377,0.683,0.299,88,425.6,2.76,0.17,0.95
46,Andruw Monasterio,MIL,72,276,244,60,12,1,4,32,26,27,62,3,7,2,9.80%,22.40%,0.108,0.311,0.246,0.325,0.354,0.679,0.302,87,647.3,3.98,0.04,1.26
47,Josh Smith,TEX,52,183,157,36,8,1,4,22,17,19,40,5,3,1,10.10%,22.10%,0.144,0.278,0.229,0.325,0.373,0.698,0.31,93,738.2,3.04,-0.04,1.39
48,Edmundo Sosa,PHI,62,219,203,50,10,2,6,26,24,8,52,6,4,1,3.80%,23.70%,0.146,0.305,0.247,0.296,0.394,0.69,0.299,85,747.9,3.89,0.28,1.29
49,Buddy Kennedy,DET,19,60,53,13,3,0,1,7,6,6,13,1,1,0,9.70%,22.20%,0.117,0.302,0.243,0.327,0.36,0.687,0.305,91,999,3.42,-0.24,1.9
50,Taylor Walls,TBR,74,285,248,51,12,1,6,34,26,33,73,1,12,3,11.50%,25.80%,0.127,0.268,0.207,0.301,0.334,0.635,0.284,77,532.3,2.62,0.36,1.2
51,Nicky Lopez,CHW,109,403,358,87,14,2,2,44,28,33,60,5,11,3,8.10%,14.90%,0.066,0.287,0.243,0.313,0.309,0.622,0.28,74,615.5,3.62,2,1.22
52,Brian Anderson,SEA,49,193,170,39,8,0,5,21,21,18,54,4,1,0,9.60%,27.80%,0.134,0.304,0.229,0.316,0.363,0.679,0.302,94,750.5,5.95,-0.56,1.26
53,Michael Busch,CHC,101,395,349,82,18,1,13,47,46,37,108,5,3,1,9.30%,27.50%,0.17,0.302,0.236,0.317,0.406,0.723,0.315,98,344,3.58,0.21,0.37
54,Evan Longoria,,59,219,196,45,9,0,9,25,28,19,63,2,0,0,8.80%,28.90%,0.186,0.289,0.232,0.303,0.418,0.721,0.311,95,999,1.29,-0.68,1.08
55,Tyler Freeman,CLE,32,115,103,27,6,0,2,13,12,7,17,3,3,1,5.90%,15.20%,0.105,0.304,0.266,0.33,0.371,0.701,0.31,98,729.9,2.99,0.01,1.8
